 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"220500 ITAINOPOLIS";11095
"220510 ITAUEIRA";10628
"220515 JACOBINA DO PIAUI";5704
"220520 JAICOS";17984
"220525 JARDIM DO MULATO";4306
"220527 JATOBA DO PIAUI";4644
"220530 JERUMENHA";4373
"220535 JOAO COSTA";2949
"220540 JOAQUIM PIRES";13790
"220545 JOCA MARQUES";5086
"220550 JOSE DE FREITAS";36984
"220551 JUAZEIRO DO PIAUI";4723
"220552 JULIO BORGES";5339
"220553 JUREMA";4506
"220554 LAGOINHA DO PIAUI";2646
"220555 LAGOA ALEGRE";7998
"220556 LAGOA DO BARRO DO PIAUI";4519
"220557 LAGOA DE SAO FRANCISCO";6407
"220558 LAGOA DO PIAUI";3852
"220559 LAGOA DO SITIO";4845
"220560 LANDRI SALES";5271
"220570 LUIS CORREIA";28307
"220580 LUZILANDIA";24623
"220585 MADEIRO";7810
"220590 MANOEL EMIDIO";5200
"220595 MARCOLANDIA";7780
"220600 MARCOS PARENTE";4424
"220605 MASSAPE DO PIAUI";6211
"220610 MATIAS OLIMPIO";10455
"220620 MIGUEL ALVES";32228
"220630 MIGUEL LEAO";1232
"220635 MILTON BRANDAO";6764
"220640 MONSENHOR GIL";10324
"220650 MONSENHOR HIPOLITO";7352
"220660 MONTE ALEGRE DO PIAUI";10319
"220665 MORRO CABECA NO TEMPO";4029
"220667 MORRO DO CHAPEU DO PIAUI";6492
"220669 MURICI DOS PORTELAS";8444
"220670 NAZARE DO PIAUI";7304
"220672 NAZARIA";8048
"220675 NOSSA SENHORA DE NAZARE";4549
"220680 NOSSA SENHORA DOS REMEDIOS";8199
"220690 NOVO ORIENTE DO PIAUI";6490
"220695 NOVO SANTO ANTONIO";3250
"220700 OEIRAS";35437
"220710 OLHO D'AGUA DO PIAUI";2626
"220720 PADRE MARCOS";6624
"220730 PAES LANDIM";4057
"220735 PAJEU DO PIAUI";3353
"220740 PALMEIRA DO PIAUI";4993
"220750 PALMEIRAIS";13716
"220755 PAQUETA";4145
"220760 PARNAGUA";10242
"220770 PARNAIBA";144687
"220775 PASSAGEM FRANCA DO PIAUI";4527
"220777 PATOS DO PIAUI";6080
"220779 PAU D'ARCO DO PIAUI";3754
"220780 PAULISTANA";19673
"220785 PAVUSSU";3654
"220790 PEDRO II";37400
"220793 PEDRO LAURENTINO";2407
"220795 NOVA SANTA RITA";4180
"220800 PICOS";72876
"220810 PIMENTEIRAS";11691
"220820 PIO IX";17623
"220830 PIRACURUCA";27498
"220840 PIRIPIRI";61651
"220850 PORTO";11858
"220855 PORTO ALEGRE DO PIAUI";2541
"220860 PRATA DO PIAUI";3068
"220865 QUEIMADA NOVA";8544
"220870 REDENCAO DO GURGUEIA";8374
"220880 REGENERACAO";17522
"220885 RIACHO FRIO";4235
"220887 RIBEIRA DO PIAUI";4244
"220890 RIBEIRO GONCALVES";6795
"220900 RIO GRANDE DO PIAUI";6262
"220910 SANTA CRUZ DO PIAUI";6000
"220915 SANTA CRUZ DOS MILAGRES";3775
"220920 SANTA FILOMENA";6087
"220930 SANTA LUZ";5504
"220935 SANTANA DO PIAUI";4914
"220937 SANTA ROSA DO PIAUI";5142
"220940 SANTO ANTONIO DE LISBOA";5981
"220945 SANTO ANTONIO DOS MILAGRES";2055
"220950 SANTO INACIO DO PIAUI";3647
"220955 SAO BRAZ DO PIAUI";4305
"220960 SAO FELIX DO PIAUI";3063
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";5541
"220970 SAO FRANCISCO DO PIAUI";6282
"220975 SAO GONCALO DO GURGUEIA";2814
"220980 SAO GONCALO DO PIAUI";4745
"220985 SAO JOAO DA CANABRAVA";4439
"220987 SAO JOAO DA FRONTEIRA";5602
"220990 SAO JOAO DA SERRA";6143
"220995 SAO JOAO DA VARJOTA";4636
"220997 SAO JOAO DO ARRAIAL";7320
"221000 SAO JOAO DO PIAUI";19452
"221005 SAO JOSE DO DIVINO";5135
"221010 SAO JOSE DO PEIXE";3693
"221020 SAO JOSE DO PIAUI";6588
"221030 SAO JULIAO";5658
"221035 SAO LOURENCO DO PIAUI";4423
"221037 SAO LUIS DO PIAUI";2556
"221038 SAO MIGUEL DA BAIXA GRANDE";2106
"221039 SAO MIGUEL DO FIDALGO";2972
"221040 SAO MIGUEL DO TAPUIO";18119
"221050 SAO PEDRO DO PIAUI";13611
"221060 SAO RAIMUNDO NONATO";32172
"221062 SEBASTIAO BARROS";3539
"221063 SEBASTIAO LEAL";4095
"221065 SIGEFREDO PACHECO";9601
"221070 SIMOES";14108
"221080 SIMPLICIO MENDES";12026
"221090 SOCORRO DO PIAUI";4518
"221093 SUSSUAPARA";6229
"221095 TAMBORIL DO PIAUI";2748
"221097 TANQUE DO PIAUI";2591
"221100 TERESINA";805951
"221110 UNIAO";42610
"221120 URUCUI";20089
"221130 VALENCA DO PIAUI";20295
"221135 VARZEA BRANCA";4902
"221140 VARZEA GRANDE";4332
"221150 VERA MENDES";2979
"221160 VILA NOVA DO PIAUI";3070
"221170 WALL FERRAZ";4271
"230010 ABAIARA";10465
"230015 ACARAPE";15324
"230020 ACARAU";57328
"230030 ACOPIARA";51002
"230040 AIUABA";16169
"230050 ALCANTARAS";10744
"230060 ALTANEIRA";6842
"230070 ALTO SANTO";16288
"230075 AMONTADA";39117
"230080 ANTONINA DO NORTE";6970
"230090 APUIARES";13911
"230100 AQUIRAZ";71169
"230110 ARACATI";68837
"230120 ARACOIABA";25320
"230125 ARARENDA";10460
"230130 ARARIPE";20619
"230140 ARATUBA";11462
"230150 ARNEIROZ";7617
"230160 ASSARE";22376
"230170 AURORA";24508
"230180 BAIXIO";5999
"230185 BANABUIU";17285
"230190 BARBALHA";55134
"230195 BARREIRA";19529
"230200 BARRO";21450
"230205 BARROQUINHA";14402
"230210 BATURITE";33198
"230220 BEBERIBE";49164
"230230 BELA CRUZ";30756
"230240 BOA VIAGEM";52339
"230250 BREJO SANTO";44979
"230260 CAMOCIM";59879
"230270 CAMPOS SALES";26406
"230280 CANINDE";74214
"230290 CAPISTRANO";17030
"230300 CARIDADE";19964
"230310 CARIRE";18313
"230320 CARIRIACU";26363
"230330 CARIUS";18531
"230340 CARNAUBAL";16714
"230350 CASCAVEL";65933
"230360 CATARINA";18671
"230365 CATUNDA";9935
"230370 CAUCAIA";324108
"230380 CEDRO";24476
"230390 CHAVAL";12560
"230393 CHORO";12788
"230395 CHOROZINHO";18836
"230400 COREAU";21905
"230410 CRATEUS";72510
"230420 CRATO";120592
"230423 CROATA";17040
"230425 CRUZ";22385
"230426 DEPUTADO IRAPUAN PINHEIRO";9065
"230427 ERERE";6822
"230428 EUSEBIO";45728
"230430 FARIAS BRITO";18984
"230435 FORQUILHA";21736
"230440 FORTALEZA";2427498
"230445 FORTIM";14743
"230450 FRECHEIRINHA";12956
"230460 GENERAL SAMPAIO";6120
"230465 GRACA";15010
"230470 GRANJA";52417
"230480 GRANJEIRO";4619
"230490 GROAIRAS";10195
"230495 GUAIUBA";24056
"230500 GUARACIABA DO NORTE";37725
"230510 GUARAMIRANGA";4106
"230520 HIDROLANDIA";19284
"230523 HORIZONTE";55043
"230526 IBARETAMA";12879
"230530 IBIAPINA";23760
"230533 IBICUITINGA";11285
"230535 ICAPUI";18273
"230540 ICO";65291
"230550 IGUATU";96176
"230560 INDEPENDENCIA";25484
"230565 IPAPORANGA";11325
"230570 IPAUMIRIM";11973
"230580 IPU";40180
"230590 IPUEIRAS";37773
"230600 IRACEMA";13692
"230610 IRAUCUBA";22237
"230620 ITAICABA";7260
"230625 ITAITINGA";34485
"230630 ITAPAGE";48195
"230640 ITAPIPOCA";115641
"230650 ITAPIUNA";18567
"230655 ITAREMA";37172
"230660 ITATIRA";18867
"230670 JAGUARETAMA";17792
"230680 JAGUARIBARA";10219
"230690 JAGUARIBE";34311
"230700 JAGUARUANA";32140
"230710 JARDIM";26608
"230720 JATI";7627
"230725 JIJOCA DE JERICOACOARA";16616
"230730 JUAZEIRO DO NORTE";248239
"230740 JUCAS";23748
"230750 LAVRAS DA MANGABEIRA";30993
"230760 LIMOEIRO DO NORTE";56066
"230763 MADALENA";17989
"230765 MARACANAU";208660
"230770 MARANGUAPE";113114
"230780 MARCO";24463
"230790 MARTINOPOLE";10184
"230800 MASSAPE";35092
"230810 MAURITI";44122
"230820 MERUOCA";13597
"230830 MILAGRES";28232
"230835 MILHA";13043
"230837 MIRAIMA";12788
"230840 MISSAO VELHA";34122
"230850 MOMBACA";42520
"230860 MONSENHOR TABOSA";16682
"230870 MORADA NOVA";61891
"230880 MORAUJO";8057
"230890 MORRINHOS";20671
"230900 MUCAMBO";14081
"230910 MULUNGU";11449
"230920 NOVA OLINDA";14225
"230930 NOVA RUSSAS";30851
"230940 NOVO ORIENTE";27394
"230945 OCARA";23914
"230950 OROS";21328
"230960 PACAJUS";61716
"230970 PACATUBA";72120
"230980 PACOTI";11572
"230990 PACUJA";5965
"231000 PALHANO";8855
"231010 PALMACIA";11970
"231020 PARACURU";31434
"231025 PARAIPABA";29892
"231030 PARAMBU";31238
"231040 PARAMOTI";11270
"231050 PEDRA BRANCA";41820
"231060 PENAFORTE";8193
"231070 PENTECOSTE";35305
"231080 PEREIRO";15730
"231085 PINDORETAMA";18595
"231090 PIQUET CARNEIRO";15416
"231095 PIRES FERREIRA";10206
"231100 PORANGA";11979
"231110 PORTEIRAS";15045
"231120 POTENGI";10247
"231123 POTIRETAMA";6099
"231126 QUITERIANOPOLIS";19912
"231130 QUIXADA";80148
"231135 QUIXELO";14969
"231140 QUIXERAMOBIM";71510
"231150 QUIXERE";19363
"231160 REDENCAO";26324
"231170 RERIUTABA";19395
"231180 RUSSAS";69642
"231190 SABOEIRO";15726
"231195 SALITRE";15426
"231200 SANTANA DO ACARAU";29848
"231210 SANTANA DO CARIRI";17127
"231220 SANTA QUITERIA";42636
"231230 SAO BENEDITO";44047
"231240 SAO GONCALO DO AMARANTE";43761
"231250 SAO JOAO DO JAGUARIBE";7881
"231260 SAO LUIS DO CURU";12298
"231270 SENADOR POMPEU";26408
"231280 SENADOR SA";6839
"231290 SOBRAL";186453
"231300 SOLONOPOLE";17558
"231310 TABULEIRO DO NORTE";29091
"231320 TAMBORIL";25414
"231325 TARRAFAS";8889
"231330 TAUA";55537
"231335 TEJUCUOCA";16782
"231340 TIANGUA";68567
"231350 TRAIRI";51249
"231355 TURURU";14396
"231360 UBAJARA";31655
"231370 UMARI";7521
"231375 UMIRIM";18744
"231380 URUBURETAMA";19684
"231390 URUOCA";12854
"231395 VARJOTA";17554
"231400 VARZEA ALEGRE";38342
"231410 VICOSA DO CEARA";54833
"240010 ACARI";10983
"240020 ACU";53046
"240030 AFONSO BEZERRA";10803
"240040 AGUA NOVA";2968
"240050 ALEXANDRIA";13429
"240060 ALMINO AFONSO";4857
"240070 ALTO DO RODRIGUES";12247
"240080 ANGICOS";11484
"240090 ANTONIO MARTINS";6881
"240100 APODI";34665
"240110 AREIA BRANCA";25226
"240120 ARES";12864
"240130 AUGUSTO SEVERO";9268
"240140 BAIA FORMOSA";8528
"240145 BARAUNA";24092
"240150 BARCELONA";3933
"240160 BENTO FERNANDES";5064
"240165 BODO";2424
"240170 BOM JESUS";9396
"240180 BREJINHO";11543
"240185 CAICARA DO NORTE";5991
"240190 CAICARA DO RIO DO VENTO";3300
"240200 CAICO";62121
"240210 CAMPO REDONDO";10262
"240220 CANGUARETAMA";30776
"240230 CARAUBAS";19505
"240240 CARNAUBA DOS DANTAS";7394
"240250 CARNAUBAIS";9744
"240260 CEARA-MIRIM";67724
"240270 CERRO CORA";10908
"240280 CORONEL EZEQUIEL";5399
"240290 CORONEL JOAO PESSOA";4757
"240300 CRUZETA";7929
"240310 CURRAIS NOVOS";42389
"240320 DOUTOR SEVERIANO";6467
"240325 PARNAMIRIM";200823
"240330 ENCANTO";5224
"240340 EQUADOR";5814
"240350 ESPIRITO SANTO";10435
"240360 EXTREMOZ";24491
"240370 FELIPE GUERRA";5701
"240375 FERNANDO PEDROZA";2842
"240380 FLORANIA";8952
"240390 FRANCISCO DANTAS";2867
"240400 FRUTUOSO GOMES";4202
"240410 GALINHOS";2087
"240420 GOIANINHA";22432
"240430 GOVERNADOR DIX-SEPT ROSADO";12350
"240440 GROSSOS";9331
"240450 GUAMARE";12391
"240460 IELMO MARINHO";12159
"240470 IPANGUACU";13800
"240480 IPUEIRA";2069
"240485 ITAJA";6912
"240490 ITAU";5552
"240500 JACANA";7915
"240510 JANDAIRA";6757
"240520 JANDUIS";5320
"240530 JANUARIO CICCO";8957
"240540 JAPI";5508
"240550 JARDIM DE ANGICOS";2596
"240560 JARDIM DE PIRANHAS";13482
"240570 JARDIM DO SERIDO";12054
"240580 JOAO CAMARA";32139
"240590 JOAO DIAS";2601
"240600 JOSE DA PENHA";5862
"240610 JUCURUTU";17616
"240615 JUNDIA";3513
"240620 LAGOA D'ANTA";6202
"240630 LAGOA DE PEDRAS";6980
"240640 LAGOA DE VELHOS";2639
"240650 LAGOA NOVA";13974
"240660 LAGOA SALGADA";7546
"240670 LAJES";10257
"240680 LAJES PINTADAS";4610
"240690 LUCRECIA";3629
"240700 LUIS GOMES";9598
"240710 MACAIBA";69192
"240720 MACAU";28839
"240725 MAJOR SALES";3534
"240730 MARCELINO VIEIRA";8250
"240740 MARTINS";8177
"240750 MAXARANGUAPE";10329
"240760 MESSIAS TARGINO";4169
"240770 MONTANHAS";11379
"240780 MONTE ALEGRE";20658
"240790 MONTE DAS GAMELEIRAS";2259
"240800 MOSSORO";258471
"240810 NATAL";797484
"240820 NISIA FLORESTA";23168
"240830 NOVA CRUZ";35343
"240840 OLHO-D'AGUA DO BORGES";4278
"240850 OURO BRANCO";4695
"240860 PARANA";3947
"240870 PARAU";3826
"240880 PARAZINHO";4839
"240890 PARELHAS";20256
"240895 RIO DO FOGO";9980
"240910 PASSA E FICA";11067
"240920 PASSAGEM";2889
"240930 PATU";11935
"240933 SANTA MARIA";4748
"240940 PAU DOS FERROS";27558
"240950 PEDRA GRANDE";3468
"240960 PEDRA PRETA";2563
"240970 PEDRO AVELINO";7154
"240980 PEDRO VELHO";14076
"240990 PENDENCIAS";13401
"241000 PILOES";3451
"241010 POCO BRANCO";13906
"241020 PORTALEGRE";7287
"241025 PORTO DO MANGUE";5183
"241030 SERRA CAIADA";8751
"241040 PUREZA";8382
"241050 RAFAEL FERNANDES";4689
"241060 RAFAEL GODEIRO";3055
"241070 RIACHO DA CRUZ";3133
"241080 RIACHO DE SANTANA";4151
"241090 RIACHUELO";7050
"241100 RODOLFO FERNANDES";4409
"241105 TIBAU";3634
"241110 RUY BARBOSA";3594
"241120 SANTA CRUZ";35713
"241140 SANTANA DO MATOS";13783
"241142 SANTANA DO SERIDO";2519
"241150 SANTO ANTONIO";22100
"241160 SAO BENTO DO NORTE";2967
"241170 SAO BENTO DO TRAIRI";3901
"241180 SAO FERNANDO";3401
"241190 SAO FRANCISCO DO OESTE";3850
"241200 SAO GONCALO DO AMARANTE";87535
"241210 SAO JOAO DO SABUGI";5913
"241220 SAO JOSE DE MIPIBU";39627
"241230 SAO JOSE DO CAMPESTRE";12347
"241240 SAO JOSE DO SERIDO";4214
"241250 SAO MIGUEL";22105
"241255 SAO MIGUEL DO GOSTOSO";8610
"241260 SAO PAULO DO POTENGI";15758
"241270 SAO PEDRO";6217
"241280 SAO RAFAEL";8071
"241290 SAO TOME";10775
"241300 SAO VICENTE";6017
"241310 SENADOR ELOI DE SOUZA";5613
"241320 SENADOR GEORGINO AVELINO";3909
"241330 SERRA DE SAO BENTO";5741
"241335 SERRA DO MEL";10189
"241340 SERRA NEGRA DO NORTE";7750
"241350 SERRINHA";6552
"241355 SERRINHA DOS PINTOS";4539
"241360 SEVERIANO MELO";5735
"241370 SITIO NOVO";5019
"241380 TABOLEIRO GRANDE";2317
"241390 TAIPU";11798
"241400 TANGARA";14078
"241410 TENENTE ANANIAS";9881
"241415 TENENTE LAURENTINO CRUZ";5401
"241420 TIBAU DO SUL";11320
"241430 TIMBAUBA DOS BATISTAS";2288
"241440 TOUROS";31009
"241445 TRIUNFO POTIGUAR";3352
"241450 UMARIZAL";10626
"241460 UPANEMA";12966
"241470 VARZEA";5230
"241475 VENHA-VER";3817
"241480 VERA CRUZ";10639
"241490 VICOSA";1618
"241500 VILA FLOR";2861
"250010 AGUA BRANCA";9441
"250020 AGUIAR";5525
"250030 ALAGOA GRANDE";28437
"250040 ALAGOA NOVA";19672
"250050 ALAGOINHA";13517
"250053 ALCANTIL";5235
"250057 ALGODAO DE JANDAIRA";2359
"250060 ALHANDRA";17922
"250070 SAO JOAO DO RIO DO PEIXE";18131
"250073 AMPARO";2088
"250077 APARECIDA";7665
"250080 ARACAGI";17185
"250090 ARARA";12619
"250100 ARARUNA";18811
"250110 AREIA";23744
"250115 AREIA DE BARAUNAS";1926
"250120 AREIAL";6436
"250130 AROEIRAS";19032
"250135 ASSUNCAO";3513
"250140 BAIA DA TRAICAO";7988
"250150 BANANEIRAS";21780
"250153 BARAUNA";4220
"250157 BARRA DE SANTANA";8184
"250160 BARRA DE SANTA ROSA";14127
"250170 BARRA DE SAO MIGUEL";5602
"250180 BAYEUX";99557
"250190 BELEM";17022
"250200 BELEM DO BREJO DO CRUZ";7121
"250205 BERNARDINO BATISTA";3057
"250210 BOA VENTURA";5742
"250215 BOA VISTA";6199
"250220 BOM JESUS";2399
"250230 BOM SUCESSO";5028
"250240 BONITO DE SANTA FE";10773
"250250 BOQUEIRAO";16854
"250260 IGARACY";6134
"250270 BORBOREMA";5084
"250280 BREJO DO CRUZ";13104
"250290 BREJO DOS SANTOS";6180
"250300 CAAPORA";20291
"250310 CABACEIRAS";5017
"250320 CABEDELO";57027
"250330 CACHOEIRA DOS INDIOS";9526
"250340 CACIMBA DE AREIA";3548
"250350 CACIMBA DE DENTRO";16673
"250355 CACIMBAS";6811
"250360 CAICARA";7209
"250370 CAJAZEIRAS";58053
"250375 CAJAZEIRINHAS";3022
"250380 CALDAS BRANDAO";5630
"250390 CAMALAU";5732
"250400 CAMPINA GRANDE";382655
"250403 CAPIM";5601
"250407 CARAUBAS";3881
"250410 CARRAPATEIRA";2372
"250415 CASSERENGUE";7053
"250420 CATINGUEIRA";4805
"250430 CATOLE DO ROCHA";28615
"250435 CATURITE";4539
"250440 CONCEICAO";18239
"250450 CONDADO";6523
"250460 CONDE";21278
"250470 CONGO";4685
"250480 COREMAS";15086
"250485 COXIXOLA";1770
"250490 CRUZ DO ESPIRITO SANTO";16201
"250500 CUBATI";6855
"250510 CUITE";19899
"250520 CUITEGI";6863
"250523 CUITE DE MAMANGUAPE";6198
"250527 CURRAL DE CIMA";5206
"250530 CURRAL VELHO";2486
"250535 DAMIAO";4899
"250540 DESTERRO";7972
"250550 VISTA SERRANA";3493
"250560 DIAMANTE";6616
"250570 DONA INES";10480
"250580 DUAS ESTRADAS";3630
"250590 EMAS";3275
"250600 ESPERANCA";30982
"250610 FAGUNDES";11395
"250620 FREI MARTINHO";2923
"250625 GADO BRAVO";8363
"250630 GUARABIRA";54960
"250640 GURINHEM";13838
"250650 GURJAO";3150
"250660 IBIARA";6009
"250670 IMACULADA";11340
"250680 INGA";18116
"250690 ITABAIANA";24447
"250700 ITAPORANGA";23108
"250710 ITAPOROROCA";16982
"250720 ITATUBA";10186
"250730 JACARAU";13868
"250740 JERICO";7518
"250750 JOAO PESSOA";713870
"250760 JUAREZ TAVORA";7454
"250770 JUAZEIRINHO";16727
"250780 JUNCO DO SERIDO";6640
"250790 JURIPIRANGA";10222
"250800 JURU";9821
"250810 LAGOA";4681
"250820 LAGOA DE DENTRO";7357
"250830 LAGOA SECA";25844
"250840 LASTRO";2804
"250850 LIVRAMENTO";7137
"250855 LOGRADOURO";3935
"250860 LUCENA";11667
"250870 MAE D'AGUA";3999
"250880 MALTA";5575
"250890 MAMANGUAPE";42154
"250900 MANAIRA";10750
"250905 MARCACAO";7597
"250910 MARI";21127
"250915 MARIZOPOLIS";6173
"250920 MASSARANDUBA";12891
"250930 MATARACA";7364
"250933 MATINHAS";4319
"250937 MATO GROSSO";2699
"250939 MATUREIA";5927
"250940 MOGEIRO";12483
"250950 MONTADAS";4965
"250960 MONTE HOREBE";4497
"250970 MONTEIRO";30739
"250980 MULUNGU";9456
"250990 NATUBA";10562
"251000 NAZAREZINHO";7273
"251010 NOVA FLORESTA";10501
"251020 NOVA OLINDA";6056
"251030 NOVA PALMEIRA";4355
"251040 OLHO D'AGUA";6902
"251050 OLIVEDOS";3619
"251060 OURO VELHO";2924
"251065 PARARI";1256
"251070 PASSAGEM";2230
"251080 PATOS";100051
"251090 PAULISTA";11720
"251100 PEDRA BRANCA";3717
"251110 PEDRA LAVRADA";7439
"251120 PEDRAS DE FOGO";26962
"251130 PIANCO";15391
"251140 PICUI";18184
"251150 PILAR";11185
"251160 PILOES";6940
"251170 PILOEZINHOS";5129
"251180 PIRPIRITUBA";10319
"251190 PITIMBU";16915
"251200 POCINHOS";17007
"251203 POCO DANTAS";3747
"251207 POCO DE JOSE DE MOURA";3975
"251210 POMBAL";31988
"251220 PRATA";3826
"251230 PRINCESA ISABEL";21190
"251240 PUXINANA";12905
"251250 QUEIMADAS";41011
"251260 QUIXABA";1671
"251270 REMIGIO";17517
"251272 PEDRO REGIS";5764
"251274 RIACHAO";3266
"251275 RIACHAO DO BACAMARTE";4260
"251276 RIACHAO DO POCO";4162
"251278 RIACHO DE SANTO ANTONIO";1713
"251280 RIACHO DOS CAVALOS";8310
"251290 RIO TINTO";22925
"251300 SALGADINHO";3498
"251310 SALGADO DE SAO FELIX";11888
"251315 SANTA CECILIA";6641
"251320 SANTA CRUZ";6437
"251330 SANTA HELENA";5363
"251335 SANTA INES";3525
"251340 SANTA LUZIA";14658
"251350 SANTANA DE MANGUEIRA";5322
"251360 SANTANA DOS GARROTES";7250
"251365 JOCA CLAUDINO";2607
"251370 SANTA RITA";119833
"251380 SANTA TERESINHA";4579
"251385 SANTO ANDRE";2628
"251390 SAO BENTO";30781
"251392 SAO BENTINHO";4132
"251394 SAO DOMINGOS DO CARIRI";2418
"251396 SAO DOMINGOS";2841
"251398 SAO FRANCISCO";3359
"251400 SAO JOAO DO CARIRI";4331
"251410 SAO JOAO DO TIGRE";4388
"251420 SAO JOSE DA LAGOA TAPADA";7554
"251430 SAO JOSE DE CAIANA";5983
"251440 SAO JOSE DE ESPINHARAS";4732
"251445 SAO JOSE DOS RAMOS";5508
"251450 SAO JOSE DE PIRANHAS";19033
"251455 SAO JOSE DE PRINCESA";4207
"251460 SAO JOSE DO BONFIM";3232
"251465 SAO JOSE DO BREJO DO CRUZ";1682
"251470 SAO JOSE DO SABUGI";3999
"251480 SAO JOSE DOS CORDEIROS";3977
"251490 SAO MAMEDE";7733
"251500 SAO MIGUEL DE TAIPU";6670
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";11023
"251520 SAO SEBASTIAO DO UMBUZEIRO";3228
"251530 SAPE";49957
"251540 SAO VICENTE DO SERIDO";10207
"251550 SERRA BRANCA";12927
"251560 SERRA DA RAIZ";3196
"251570 SERRA GRANDE";2974
"251580 SERRA REDONDA";7044
"251590 SERRARIA";6195
"251593 SERTAOZINHO";4386
"251597 SOBRADO";7356
"251600 SOLANEA";26580
"251610 SOLEDADE";13695
"251615 SOSSEGO";3168
"251620 SOUSA";65296
"251630 SUME";15987
"251640 TACIMA";10253
"251650 TAPEROA";14897
"251660 TAVARES";14083
"251670 TEIXEIRA";14070
"251675 TENORIO";2812
"251680 TRIUNFO";9196
"251690 UIRAUNA";14507
"251700 UMBUZEIRO";9276
"251710 VARZEA";2502
"251720 VIEIROPOLIS";5040
"251740 ZABELE";2069
"260005 ABREU E LIMA";93876
"260010 AFOGADOS DA INGAZEIRA";34965
"260020 AFRANIO";17535
"260030 AGRESTINA";22642
"260040 AGUA PRETA";32408
"260050 AGUAS BELAS";39938
"260060 ALAGOINHA";13753
"260070 ALIANCA";37375
"260080 ALTINHO";22281
"260090 AMARAJI";21878
"260100 ANGELIM";10193
"260105 ARACOIABA";18034
"260110 ARARIPINA";77041
"260120 ARCOVERDE";68004
"260130 BARRA DE GUABIRABA";12766
"260140 BARREIROS";39645
"260150 BELEM DE MARIA";11187
"260160 BELEM DE SAO FRANCISCO";20143
"260170 BELO JARDIM";72223
"260180 BETANIA";11960
"260190 BEZERROS";58547
"260200 BODOCO";34972
"260210 BOM CONSELHO";45306
"260220 BOM JARDIM";37783
"260230 BONITO";37384
"260240 BREJAO";8829
"260250 BREJINHO";7297
"260260 BREJO DA MADRE DE DEUS";45073
"260270 BUENOS AIRES";12527
"260280 BUIQUE";51820
"260290 CABO DE SANTO AGOSTINHO";184237
"260300 CABROBO";30742
"260310 CACHOEIRINHA";18790
"260320 CAETES";26518
"260330 CALCADO";11063
"260340 CALUMBI";5627
"260345 CAMARAGIBE";143605
"260350 CAMOCIM DE SAO FELIX";17019
"260360 CAMUTANGA";8155
"260370 CANHOTINHO";23518
"260380 CAPOEIRAS";19468
"260390 CARNAIBA";18555
"260392 CARNAUBEIRA DA PENHA";11765
"260400 CARPINA";74628
"260410 CARUARU";312980
"260415 CASINHAS";13757
"260420 CATENDE";37155
"260430 CEDRO";10765
"260440 CHA DE ALEGRIA";12384
"260450 CHA GRANDE";20115
"260460 CONDADO";24002
"260470 CORRENTES";17218
"260480 CORTES";12327
"260490 CUMARU";17140
"260500 CUPIRA";23303
"260510 CUSTODIA";33802
"260515 DORMENTES";16882
"260520 ESCADA";63381
"260530 EXU";31561
"260540 FEIRA NOVA";20544
"260545 FERNANDO DE NORONHA";2112
"260550 FERREIROS";11402
"260560 FLORES";22096
"260570 FLORESTA";29182
"260580 FREI MIGUELINHO";14261
"260590 GAMELEIRA";27789
"260600 GARANHUNS";128679
"260610 GLORIA DO GOITA";28978
"260620 GOIANA";75466
"260630 GRANITO";6796
"260640 GRAVATA";76066
"260650 IATI";18310
"260660 IBIMIRIM";26840
"260670 IBIRAJUBA";7503
"260680 IGARASSU";101626
"260690 IGUARACY";11763
"260700 INAJA";19007
"260710 INGAZEIRA";4461
"260720 IPOJUCA";80279
"260730 IPUBI";27988
"260740 ITACURUBA";4364
"260750 ITAIBA";26176
"260760 ILHA DE ITAMARACA";18155
"260765 ITAMBE";35343
"260770 ITAPETIM";13838
"260775 ITAPISSUMA";22824
"260780 ITAQUITINGA";15671
"260790 JABOATAO DOS GUARARAPES";642881
"260795 JAQUEIRA";11447
"260800 JATAUBA";15787
"260805 JATOBA";13918
"260810 JOAO ALFREDO";30708
"260820 JOAQUIM NABUCO";15759
"260825 JUCATI";10582
"260830 JUPI";13672
"260840 JUREMA";14476
"260845 LAGOA DO CARRO";15970
"260850 LAGOA DE ITAENGA";20628
"260860 LAGOA DO OURO";12054
"260870 LAGOA DOS GATOS";15590
"260875 LAGOA GRANDE";22692
"260880 LAJEDO";36469
"260890 LIMOEIRO";54076
"260900 MACAPARANA";23865
"260910 MACHADOS";13572
"260915 MANARI";18060
"260920 MARAIAL";11887
"260930 MIRANDIBA";14233
"260940 MORENO";56546
"260950 NAZARE DA MATA";30663
"260960 OLINDA";376445
"260970 OROBO";22810
"260980 OROCO";13126
"260990 OURICURI";64139
"261000 PALMARES";58507
"261010 PALMEIRINA";8166
"261020 PANELAS";25566
"261030 PARANATAMA";10957
"261040 PARNAMIRIM";20146
"261050 PASSIRA";28575
"261060 PAUDALHO";51186
"261070 PAULISTA";299712
"261080 PEDRA";20839
"261090 PESQUEIRA";62271
"261100 PETROLANDIA";32347
"261110 PETROLINA";291863
"261120 POCAO";11210
"261130 POMBOS";23935
"261140 PRIMAVERA";13228
"261150 QUIPAPA";23954
"261153 QUIXABA";6738
