 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"150250 CHAVES";20921
"150260 COLARES";11325
"150270 CONCEICAO DO ARAGUAIA";45360
"150275 CONCORDIA DO PARA";28014
"150276 CUMARU DO NORTE";9936
"150277 CURIONOPOLIS";18241
"150280 CURRALINHO";27770
"150285 CURUA";12239
"150290 CURUCA";34262
"150293 DOM ELISEU";50827
"150295 ELDORADO DOS CARAJAS";30950
"150300 FARO";8145
"150304 FLORESTA DO ARAGUAIA";17725
"150307 GARRAFAO DO NORTE";24942
"150309 GOIANESIA DO PARA";30311
"150310 GURUPA";28953
"150320 IGARAPE-ACU";35773
"150330 IGARAPE-MIRI";57732
"150340 INHANGAPI";10025
"150345 IPIXUNA DO PARA";51163
"150350 IRITUIA";31289
"150360 ITAITUBA";95519
"150370 ITUPIRANGA";50708
"150375 JACAREACANGA";12118
"150380 JACUNDA";51026
"150390 JURUTI";46204
"150400 LIMOEIRO DO AJURU";25005
"150405 MAE DO RIO";27800
"150410 MAGALHAES BARATA";8096
"150420 MARABA";231824
"150430 MARACANA";28220
"150440 MARAPANIM";26504
"150442 MARITUBA";107490
"150445 MEDICILANDIA";27113
"150450 MELGACO";24743
"150460 MOCAJUBA";26622
"150470 MOJU";69396
"150480 MONTE ALEGRE";55229
"150490 MUANA";34133
"150495 NOVA ESPERANCA DO PIRIA";20064
"150497 NOVA IPIXUNA";14567
"150500 NOVA TIMBOTEUA";13619
"150503 NOVO PROGRESSO";24869
"150506 NOVO REPARTIMENTO";61580
"150510 OBIDOS";48959
"150520 OEIRAS DO PARA";28587
"150530 ORIXIMINA";62500
"150540 OUREM";16230
"150543 OURILANDIA DO NORTE";27096
"150548 PACAJA";39356
"150549 PALESTINA DO PARA";7409
"150550 PARAGOMINAS";97273
"150553 PARAUAPEBAS";153407
"150555 PAU D'ARCO";5996
"150560 PEIXE-BOI";7826
"150563 PICARRA";12594
"150565 PLACAS";23420
"150570 PONTA DE PEDRAS";25800
"150580 PORTEL";51715
"150590 PORTO DE MOZ";33426
"150600 PRAINHA";29106
"150610 PRIMAVERA";10244
"150611 QUATIPURU";12374
"150613 REDENCAO";73671
"150616 RIO MARIA";17625
"150618 RONDON DO PARA";46778
"150619 RUROPOLIS";39346
"150620 SALINOPOLIS";36877
"150630 SALVATERRA";20055
"150635 SANTA BARBARA DO PARA";17096
"150640 SANTA CRUZ DO ARARI";8125
"150650 SANTA IZABEL DO PARA";56498
"150655 SANTA LUZIA DO PARA";19319
"150658 SANTA MARIA DAS BARREIRAS";17023
"150660 SANTA MARIA DO PARA";22950
"150670 SANTANA DO ARAGUAIA";55063
"150680 SANTAREM";293092
"150690 SANTAREM NOVO";6131
"150700 SANTO ANTONIO DO TAUA";26618
"150710 SAO CAETANO DE ODIVELAS";16843
"150715 SAO DOMINGOS DO ARAGUAIA";23070
"150720 SAO DOMINGOS DO CAPIM";29758
"150730 SAO FELIX DO XINGU";89722
"150740 SAO FRANCISCO DO PARA";15001
"150745 SAO GERALDO DO ARAGUAIA";25362
"150746 SAO JOAO DA PONTA";5260
"150747 SAO JOAO DE PIRABAS";20514
"150750 SAO JOAO DO ARAGUAIA";13114
"150760 SAO MIGUEL DO GUAMA";51379
"150770 SAO SEBASTIAO DA BOA VISTA";22857
"150775 SAPUCAIA";5004
"150780 SENADOR JOSE PORFIRIO";12965
"150790 SOURE";22904
"150795 TAILANDIA";78641
"150796 TERRA ALTA";10253
"150797 TERRA SANTA";16885
"150800 TOME-ACU";56146
"150803 TRACUATEUA";27379
"150805 TRAIRAO";16728
"150808 TUCUMA";33551
"150810 TUCURUI";96649
"150812 ULIANOPOLIS";43133
"150815 URUARA";44275
"150820 VIGIA";47813
"150830 VISEU";56523
"150835 VITORIA DO XINGU";13256
"150840 XINGUARA";40194
"160005 SERRA DO NAVIO";4363
"160010 AMAPA";8021
"160015 PEDRA BRANCA DO AMAPARI";10271
"160020 CALCOENE";8938
"160021 CUTIAS";4673
"160023 FERREIRA GOMES";5739
"160025 ITAUBAL";4219
"160027 LARANJAL DO JARI";39699
"160030 MACAPA";395604
"160040 MAZAGAO";16954
"160050 OIAPOQUE";19912
"160053 PORTO GRANDE";16706
"160055 PRACUUBA";3771
"160060 SANTANA";100806
"160070 TARTARUGALZINHO";12500
"160080 VITORIA DO JARI";12233
"170025 ABREULANDIA";2389
"170030 AGUIARNOPOLIS";5135
"170035 ALIANCA DO TOCANTINS";5658
"170040 ALMAS";7497
"170070 ALVORADA";8292
"170100 ANANAS";9818
"170105 ANGICO";3166
"170110 APARECIDA DO RIO NEGRO";4202
"170130 ARAGOMINAS";5866
"170190 ARAGUACEMA";6230
"170200 ARAGUACU";8698
"170210 ARAGUAINA";149765
"170215 ARAGUANA";5017
"170220 ARAGUATINS";31191
"170230 ARAPOEMA";6696
"170240 ARRAIAS";10540
"170255 AUGUSTINOPOLIS";15872
"170270 AURORA DO TOCANTINS";3419
"170290 AXIXA DO TOCANTINS";9255
"170300 BABACULANDIA";10336
"170305 BANDEIRANTES DO TOCANTINS";3105
"170307 BARRA DO OURO";4105
"170310 BARROLANDIA";5253
"170320 BERNARDO SAYAO";4425
"170330 BOM JESUS DO TOCANTINS";3749
"170360 BRASILANDIA DO TOCANTINS";2056
"170370 BREJINHO DE NAZARE";5176
"170380 BURITI DO TOCANTINS";9751
"170382 CACHOEIRINHA";2136
"170384 CAMPOS LINDOS";8098
"170386 CARIRI DO TOCANTINS";3378
"170388 CARMOLANDIA";2313
"170389 CARRASCO BONITO";3687
"170390 CASEARA";4576
"170410 CENTENARIO";2564
"170460 CHAPADA DE AREIA";1333
"170510 CHAPADA DA NATIVIDADE";3272
"170550 COLINAS DO TOCANTINS";30622
"170555 COMBINADO";4632
"170560 CONCEICAO DO TOCANTINS";4178
"170600 COUTO MAGALHAES";4994
"170610 CRISTALANDIA";7184
"170625 CRIXAS DO TOCANTINS";1559
"170650 DARCINOPOLIS";5238
"170700 DIANOPOLIS";19039
"170710 DIVINOPOLIS DO TOCANTINS";6283
"170720 DOIS IRMAOS DO TOCANTINS";7150
"170730 DUERE";4546
"170740 ESPERANTINA";9460
"170755 FATIMA";3789
"170765 FIGUEIROPOLIS";5295
"170770 FILADELFIA";8471
"170820 FORMOSO DO ARAGUAIA";18363
